target,split,model,feature_set,train_rows,test_rows,feature_count,prevalence,auc,average_precision,brier
parasympathetic_recovery_proxy,leave_dataset_out:painmonit,hist_gradient_boosting,portable_base_shape,4887,915,86,0.06775956284153005,0.712135536815036,0.12211004868283598,0.07012546835692525
parasympathetic_recovery_proxy,leave_dataset_out:physiopain_watch,hist_gradient_boosting,portable_base_shape,4874,928,86,0.31573275862068967,0.6550804869527828,0.4146107523765041,0.2721474363394293
parasympathetic_recovery_proxy,leave_dataset_out:rheumapain,hist_gradient_boosting,portable_base_shape,5100,702,86,0.1794871794871795,0.9133046737213403,0.5779924408439359,0.10167875345665517
parasympathetic_recovery_proxy,leave_dataset_out:silver_pain,hist_gradient_boosting,portable_base_shape,5136,666,86,0.15615615615615616,0.6243584040514645,0.20826402381496487,0.17770918724945473
parasympathetic_recovery_proxy,leave_dataset_out:wesad,hist_gradient_boosting,portable_base_shape,4819,983,86,0.13835198372329605,0.6575586846308771,0.25282949507415803,0.12336540676830393
parasympathetic_recovery_proxy,group_subject_cv,extra_trees,portable_base_shape,4641,5802,86,0.1761461564977594,0.7651346117629721,0.3210447919257446,0.15340513982392603
parasympathetic_recovery_proxy,leave_dataset_out:catsa,extra_trees,portable_base_shape,4977,825,86,0.36484848484848487,0.5373627349040095,0.38483840809061887,0.23489791614451855
parasympathetic_recovery_proxy,leave_dataset_out:painmonit,extra_trees,portable_base_shape,4887,915,86,0.06775956284153005,0.7046477328593579,0.12498411921018351,0.07900798545738341
parasympathetic_recovery_proxy,leave_dataset_out:physiopain_watch,extra_trees,portable_base_shape,4874,928,86,0.31573275862068967,0.6146408320120395,0.3871241429887198,0.2377205511407772
parasympathetic_recovery_proxy,leave_dataset_out:rheumapain,extra_trees,portable_base_shape,5100,702,86,0.1794871794871795,0.9025022045855379,0.520199651530546,0.1011910123921907
parasympathetic_recovery_proxy,leave_dataset_out:silver_pain,extra_trees,portable_base_shape,5136,666,86,0.15615615615615616,0.6589275937585547,0.2076014242765453,0.14689512360136425
parasympathetic_recovery_proxy,leave_dataset_out:wesad,extra_trees,portable_base_shape,4819,983,86,0.13835198372329605,0.6922876588651989,0.3115908441833342,0.112333639207015
parasympathetic_recovery_proxy,group_subject_cv,logistic,aggressive_shape,4641,5802,542,0.1761461564977594,0.828149129199453,0.4130314745553252,0.16615694451746205
parasympathetic_recovery_proxy,group_subject_cv,logistic,quality_only,4641,5802,27,0.1761461564977594,0.6564261968901736,0.2898254244874478,0.22901529311734597
parasympathetic_recovery_proxy,leave_dataset_out:catsa,logistic,quality_only,4977,825,27,0.36484848484848487,0.6568245796454566,0.4845703701462262,0.24687874338396462
parasympathetic_recovery_proxy,leave_dataset_out:painmonit,logistic,quality_only,4887,915,27,0.06775956284153005,0.4655579926634648,0.06371347321743384,0.8389828304187691
parasympathetic_recovery_proxy,leave_dataset_out:physiopain_watch,logistic,quality_only,4874,928,27,0.31573275862068967,0.5334470989761092,0.33271182988349446,0.23441398686137147
parasympathetic_recovery_proxy,leave_dataset_out:rheumapain,logistic,quality_only,5100,702,27,0.1794871794871795,0.3634465939153439,0.14254906498657938,0.3099868503061282
parasympathetic_recovery_proxy,leave_dataset_out:silver_pain,logistic,quality_only,5136,666,27,0.15615615615615616,0.47135060224473035,0.14461301643673205,0.5309847465733916
parasympathetic_recovery_proxy,leave_dataset_out:wesad,logistic,quality_only,4819,983,27,0.13835198372329605,0.5451463643308564,0.16362169463718626,0.1382845934283433
parasympathetic_recovery_proxy,group_subject_cv,extra_trees,quality_only,4641,5802,27,0.1761461564977594,0.663938642746604,0.29044477175399247,0.21434109106575253
parasympathetic_recovery_proxy,leave_dataset_out:catsa,extra_trees,quality_only,4977,825,27,0.36484848484848487,0.5197211584793691,0.4109509615386202,0.2393038941703038
parasympathetic_recovery_proxy,leave_dataset_out:painmonit,extra_trees,quality_only,4887,915,27,0.06775956284153005,0.5344420073365352,0.07434179805413299,0.16953556011986012
parasympathetic_recovery_proxy,leave_dataset_out:physiopain_watch,extra_trees,quality_only,4874,928,27,0.31573275862068967,0.5334470989761092,0.33271182988349446,0.23772036505083968
parasympathetic_recovery_proxy,leave_dataset_out:rheumapain,extra_trees,quality_only,5100,702,27,0.1794871794871795,0.5947076168430334,0.29046886266450234,0.34169546733075246
parasympathetic_recovery_proxy,leave_dataset_out:silver_pain,extra_trees,quality_only,5136,666,27,0.15615615615615616,0.4639251984670134,0.14502025281716635,0.3999380747203929
parasympathetic_recovery_proxy,leave_dataset_out:wesad,extra_trees,quality_only,4819,983,27,0.13835198372329605,0.5425072921730677,0.15686113877102908,0.13720974165553776
parasympathetic_recovery_proxy,group_subject_cv,logistic,dataset_only,4641,5802,2,0.1761461564977594,0.7086697262730393,0.2862778297834314,0.22017332058976913
parasympathetic_recovery_proxy,leave_dataset_out:catsa,logistic,dataset_only,4977,825,2,0.36484848484848487,0.5148899343156399,0.37318122825646766,0.23955956446104013
parasympathetic_recovery_proxy,leave_dataset_out:painmonit,logistic,dataset_only,4887,915,2,0.06775956284153005,0.5344420073365352,0.07434179805413299,0.10683779411732738
parasympathetic_recovery_proxy,leave_dataset_out:physiopain_watch,logistic,dataset_only,4874,928,2,0.31573275862068967,0.5334470989761092,0.33271182988349446,0.2168512412273449
parasympathetic_recovery_proxy,leave_dataset_out:rheumapain,logistic,dataset_only,5100,702,2,0.1794871794871795,0.5797853284832452,0.21399149431923156,0.15412603075044112
parasympathetic_recovery_proxy,leave_dataset_out:silver_pain,logistic,dataset_only,5136,666,2,0.15615615615615616,0.4892981795784287,0.15255354513167013,0.14441555646320767
parasympathetic_recovery_proxy,leave_dataset_out:wesad,logistic,dataset_only,4819,983,2,0.13835198372329605,0.533309604833669,0.14863922321408077,0.13629833398748323
homeostasis,group_subject_cv,logistic,portable_base_shape,6908,8636,86,0.479967577582214,0.6764510390570714,0.6482048888189704,0.2276712798309865
homeostasis,leave_dataset_out:catsa,logistic,portable_base_shape,6248,2388,86,0.49748743718592964,0.5570019640852975,0.574022616510948,0.2553277329476535
homeostasis,leave_dataset_out:painmonit,logistic,portable_base_shape,7651,985,86,0.2913705583756345,0.6191857272645588,0.3763641501309461,0.2282942110622377
